pit_tag_number,event,alanine_aminotransferase,albumin,alkaline_phosphatase,aspartate_aminotransferase,bilirubin,buffy_coat_thickness,c-reactive_protein,calcium,chloride,cholesterol,cortisol,creatine_phosphokinase,creatinine,globulin,glucose,glutamate_dehydrogenase,haematocrit,haemoglobin,haptoglobin,lymphocytes_abs,magnesium,monocytes_abs,neutrophils_abs,phosphate,potassium,prostaglandin_e2,sodium,thick_buffy_coat,total_protein,triglycerides,urea,white_blood_cell_count,temperature_celsius,satiation_ration,ratioAlbuminGlobulin,ratioNeutrophilslymphocytes,meanCorHaeCon,general_health_classification
900008800750223,3,7,15,34,317,0,0,1.06,3.25,137,9.9,212,8812,11,24,4.57,135.9,42.5,,12.06,22.9,1.11,0.2,0.2,3.69,3.78,60.89,170,1,39,0.53,0.5,23.4,13,80,0.625,0.00873362445414847,,1
900008800750260,5,5,17,22,350,0,1,,2.86,137,7.9,270,98,29,25,5.5,100.2,39,99,13.73,13.9,1.16,0.1,0,3.47,5.26,74.9,168,0,42,0.85,1.1,14,17,100,0.68,0,25.3846153846154,1
900008800750283,5,2,16,19,217,0,0,0.97,2.65,138,8.3,327,1099,20,23,4.24,107.9,38.5,99,14.68,25.7,1.04,0.3,0,2.79,4.43,75.9,166,1,39,1.25,0.8,26,17,80,0.695652173913044,0,25.7142857142857,1
900008800750300,5,4,17,12,225,0,0,0.25,2.81,144,5.8,49.5,98,9,24,4.41,59.9,32,94,9.81,13.6,1.12,0.1,0.4,3.48,5.13,52,175,0,41,0.84,0.9,14.2,17,60,0.708333333333333,0.0294117647058824,29.375,0
900008800750302,5,5,17,22,243,0,0,0.91,2.74,136,8.8,118,55,12,22,5.22,94.1,35,103,,14.9,1.1,0.2,0.2,3.09,4.72,79,168,0,39,1.2,0.9,15.2,17,60,0.772727272727273,0.0134228187919463,29.4285714285714,1
900008800750303,5,3,18,20,293,0,2,0.85,3.16,142,9.6,247,1366,21,23,7.83,100.6,39,82,15.12,14.6,1.41,0.2,0.3,3.77,5.38,77.9,177,0,41,1.17,1.3,15,17,100,0.782608695652174,0.0205479452054795,21.025641025641,1
900008800750308,3,11,18,38,443,0,1,0.98,3.84,135,11.8,855,13516,18,28,6.12,164.9,38.5,,16.76,21.6,1.48,0.2,0.2,4.78,4.62,87.26,181,1,46,1,0.7,22,17,80,0.642857142857143,0.00925925925925926,,0
900008800750317,3,4,16,37,262,0,2,0.97,3.01,139,8.5,331,1430,9,22,5.52,71.8,38.5,,13.79,26.8,1.16,0.3,0.6,3.38,3.04,64.63,169,1,38,1.11,0.4,27.6,17,60,0.727272727272727,0.0223880597014925,,0
900008800750362,3,6,17,27,317,0,1,2.53,2.88,130,9.6,349,1327,16,21,4.52,65.5,38.5,,19.37,24.4,1.01,0,0.2,3.04,2.6,83.11,162,1,39,2.02,0.5,24.6,17,100,0.80952380952381,0.00819672131147541,,1
900008800750377,5,4,15,9,254,0,0,,2.7,140,3.6,31.9,218,29,22,4.97,39,36,96,11.76,7,1.22,0.2,0.6,3.72,5.76,56.8,166,0,36,0.98,1.2,7.8,17,100,0.681818181818182,0.0857142857142857,26.6666666666667,0
